,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
1100,1.0,2020-01-01 00:36:13,2020-01-01 00:38:18,1.0,0.4,1.0,N,236,236,1.0,3.5,3.0,0.5,1.46,0.0,0.3,8.76,2.5
1101,1.0,2020-01-01 00:39:28,2020-01-01 00:51:05,1.0,2.9,1.0,N,43,166,1.0,11.5,3.0,0.5,3.05,0.0,0.3,18.35,2.5
1102,1.0,2020-01-01 00:52:40,2020-01-01 01:18:13,1.0,7.9,1.0,N,166,7,1.0,26.5,0.5,0.5,6.78,6.12,0.3,40.7,0.0
1103,2.0,2020-01-01 00:15:45,2020-01-01 00:23:10,1.0,1.1,1.0,N,249,68,1.0,6.5,0.5,0.5,2.06,0.0,0.3,12.36,2.5
1104,2.0,2020-01-01 00:35:10,2020-01-01 00:57:39,2.0,4.01,1.0,N,113,262,1.0,17.0,0.5,0.5,4.16,0.0,0.3,24.96,2.5
1105,2.0,2020-01-01 00:13:01,2020-01-01 00:22:33,6.0,1.5,1.0,N,233,234,2.0,8.0,0.5,0.5,0.0,0.0,0.3,11.8,2.5
1106,2.0,2020-01-01 00:38:34,2020-01-01 00:41:49,6.0,0.43,1.0,N,233,170,1.0,4.0,0.5,0.5,1.56,0.0,0.3,9.36,2.5
1107,1.0,2020-01-01 00:08:24,2020-01-01 00:29:31,1.0,6.5,1.0,N,151,234,1.0,22.0,3.0,0.5,5.15,0.0,0.3,30.95,2.5
1108,1.0,2020-01-01 00:42:08,2020-01-01 01:02:23,2.0,3.5,1.0,N,114,161,1.0,15.5,3.0,0.5,3.85,0.0,0.3,23.15,2.5
1109,1.0,2020-01-01 00:18:55,2020-01-01 00:22:15,2.0,0.8,1.0,N,246,246,1.0,4.5,3.0,0.5,2.0,0.0,0.3,10.3,2.5
1110,1.0,2020-01-01 00:26:22,2020-01-01 00:42:35,1.0,1.4,1.0,N,68,170,1.0,11.0,3.0,0.5,3.7,0.0,0.3,18.5,2.5
1111,1.0,2020-01-01 00:53:42,2020-01-01 01:17:25,1.0,2.4,1.0,N,164,148,1.0,15.5,3.0,0.5,3.85,0.0,0.3,23.15,2.5
1112,1.0,2020-01-01 00:04:47,2020-01-01 00:11:19,1.0,1.2,1.0,Y,236,237,2.0,7.0,3.0,0.5,0.0,0.0,0.3,10.8,2.5
1113,1.0,2020-01-01 00:14:54,2020-01-01 00:26:23,1.0,2.6,1.0,N,236,143,1.0,10.5,3.0,0.5,3.0,0.0,0.3,17.3,2.5
1114,1.0,2020-01-01 00:33:17,2020-01-01 00:48:07,1.0,2.0,1.0,N,142,140,1.0,11.0,3.0,0.5,2.95,0.0,0.3,17.75,2.5
1115,1.0,2020-01-01 00:54:43,2020-01-01 00:59:25,2.0,1.2,1.0,N,140,263,1.0,6.0,3.0,0.5,1.95,0.0,0.3,11.75,2.5
1116,2.0,2020-01-01 00:22:37,2020-01-01 00:28:18,1.0,2.08,1.0,N,142,166,1.0,7.5,0.5,0.5,6.0,0.0,0.3,17.3,2.5
1117,2.0,2020-01-01 00:30:07,2020-01-02 00:28:18,1.0,0.35,1.0,N,166,166,1.0,3.5,0.5,0.5,0.0,0.0,0.3,4.8,0.0
1118,2.0,2020-01-01 00:37:08,2020-01-01 00:51:13,2.0,2.68,1.0,N,24,42,2.0,12.5,0.5,0.5,0.0,0.0,0.3,13.8,0.0
1119,2.0,2020-01-01 00:13:15,2020-01-01 00:19:53,1.0,0.91,1.0,N,249,90,1.0,6.0,0.5,0.5,1.96,0.0,0.3,11.76,2.5
1120,2.0,2020-01-01 00:23:49,2020-01-01 00:35:03,1.0,2.93,1.0,N,68,13,1.0,11.0,0.5,0.5,2.96,0.0,0.3,17.76,2.5
1121,2.0,2020-01-01 00:37:12,2020-01-01 00:52:26,1.0,4.45,1.0,N,13,148,1.0,16.5,0.5,0.5,4.06,0.0,0.3,24.36,2.5
1122,2.0,2020-01-01 00:53:13,2020-01-01 01:02:36,1.0,2.66,1.0,N,148,87,1.0,10.5,0.5,0.5,2.86,0.0,0.3,17.16,2.5
1123,2.0,2020-01-01 00:17:50,2020-01-01 00:26:35,3.0,2.54,1.0,N,170,141,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
1124,2.0,2020-01-01 00:31:02,2020-01-01 00:43:24,1.0,3.52,1.0,N,140,151,2.0,13.0,0.5,0.5,0.0,0.0,0.3,16.8,2.5
1125,2.0,2020-01-01 00:44:46,2020-01-01 00:56:48,2.0,2.29,1.0,N,151,42,2.0,10.5,0.5,0.5,0.0,0.0,0.3,11.8,0.0
1126,2.0,2020-01-01 00:07:39,2020-01-01 00:22:42,1.0,2.08,1.0,N,48,158,1.0,11.5,0.5,0.5,3.06,0.0,0.3,18.36,2.5
1127,2.0,2020-01-01 00:24:59,2020-01-01 00:34:10,1.0,1.22,1.0,N,158,79,1.0,7.5,0.5,0.5,0.56,0.0,0.3,11.86,2.5
1128,2.0,2020-01-01 00:36:11,2020-01-01 00:41:55,1.0,0.83,1.0,N,79,114,1.0,6.0,0.5,0.5,2.45,0.0,0.3,12.25,2.5
1129,2.0,2020-01-01 00:44:00,2020-01-01 00:51:21,1.0,1.77,1.0,N,114,87,1.0,7.5,0.5,0.5,2.26,0.0,0.3,13.56,2.5
1130,2.0,2020-01-01 00:56:12,2020-01-01 01:17:35,1.0,4.17,1.0,N,87,255,1.0,17.0,0.5,0.5,3.12,0.0,0.3,23.92,2.5
1131,1.0,2020-01-01 00:00:48,2020-01-01 00:24:26,2.0,11.7,1.0,N,132,188,2.0,33.5,0.5,0.5,0.0,0.0,0.3,34.8,0.0
1132,2.0,2020-01-01 00:36:33,2020-01-01 01:05:39,1.0,4.14,1.0,N,232,140,1.0,20.0,0.5,0.5,4.76,0.0,0.3,28.56,2.5
1133,1.0,2020-01-01 00:15:12,2020-01-01 00:33:00,3.0,3.7,1.0,N,79,87,1.0,15.5,3.0,0.5,3.85,0.0,0.3,23.15,2.5
1134,1.0,2020-01-01 00:36:56,2020-01-01 00:59:16,4.0,5.5,1.0,N,87,48,1.0,20.0,3.0,0.5,4.75,0.0,0.3,28.55,2.5
1135,2.0,2020-01-01 00:20:47,2020-01-01 00:33:44,1.0,2.85,1.0,N,68,13,2.0,12.0,0.5,0.5,0.0,0.0,0.3,15.8,2.5
